Date, ShippingGoal, BodyGoal, StudyGoal, WorkGoal, CreationOutcome, BodyOutcome, StudyOutcome, WorkOutcome, ExtraOutcome
2023-03-08, NA, NA, NA, NA, Discovered D3+react (2), Cheat Day (3), Did TSA and k-means (3), Nothing satisfying (1)
2023-03-09, NA, NA, NA, NA,Nothing (0), Ran 4 kms (4), Did TSA and completed k-means (4), Docstring Generation (4)
2023-03-10, NA, NA, NA, NA,Nothing (0), Nothing (0), Studied Anomaly detection (3), Intense Day (5)
2023-03-11, NA, NA, NA, NA,Danced at the party (5), Some workout (2), Studied Financial data (5), Weekend (0)
2023-03-12, NA, NA, NA, NA,Nothing (0), Gym work out (5), Studied Anomaly Detection (2), Nothing (0)
2023-03-14, NA, NA, NA, NA,Nothing (0), Gym work out (3), Completed write-up on stationarity, Slogged (1)
2023-03-15, NA, NA, NA, NA,Nothing (0), Gym work out (4), Completed WQU Group Work Project (4), Tried my best (4)
2023-03-16, NA, NA, NA, NA,Nothing (0), Nothing(0), Didn't study much (1), Office Party and presentation (4)
2023-03-17, NA, NA, NA, NA,Nothing (0), Nothing (0), Studied Something (2), Terrible day (-5)
2023-03-18, NA, NA, NA, NA,Visited Austchwitz (5), Light Gym (3), Completed a GWP quiz (1), Weekend(0)
2023-03-19, NA, NA, NA, NA,Visited Krakow and amazing evening (5), Heavy Gym (5), Did a coursera video (2), Weekend(0)
2023-03-20, NA, NA, NA, NA,Nothing (0), Rest (0), Started Re-inforcement learning (1), Crafted a mail and KMPI automation (4)  
2023-03-21, NA, NA, NA, NA,Nothing (0), Light gym (1), Continued with Re-inforcement learning (1), Finished mailing the sponsors (3) 
2023-03-22, NA, NA, NA, NA,Nothing (0), Light gym (2),Started Algorithms course (2), KMPIs (2)
2023-03-23, NA, NA, NA, NA,Nothing (0), Lighter gym (3),Studied unit roots and shell scripting (3), Stayed up late and figured out stuff (5) 
2023-03-24, NA, NA, NA, NA,(0), Gym workout (felt good) (5),Studied Unit roots and did the assignment (3), Left the office early (2) 
2023-03-25, NA, NA, NA, NA,Talked to Aman about beautiful things (4), Light gym (3),Studied bellman equations and completed a GWP quiz (2), Weekend (0) 
2023-03-26, NA, NA, NA, NA,Went outside with Ashish/Richa and Jeevan (2), Light Run (1),Studied unit roots and shell scripting (3), Stayed up late and figured out stuff (5) 
2023-03-27, NA, NA, NA, NA,Nothing (0), Gym (3),Studied shell scripting (1), Light work (5) 
2023-03-28, NA, NA, NA, NA,Changed my website design (3), Missed the Gym (-1),Completed WQU GWP (2), Slogged (1) 
